Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,DO1n,DOP1n,DA1n,DAP1n,DO1a,DOP1a,DA1a,DAP1a,DO1na,DOP1na,DA1na,DAP1na,W1,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,DO2n,DOP2n,DA2n,DAP2n,DO2a,DOP2a,DA2a,DAP2a,DO2na,DOP2na,DA2na,DAP2na,W2,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,DO3n,DOP3n,DA3n,DAP3n,DO3a,DOP3a,DA3a,DAP3a,DO3na,DOP3na,DA3na,DAP3na,W3,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
6,2,1,13,12,38,21,14,1,2,-24,27,19,23,15.33333333,19.66666667,13.11111111,10,2.333333333,6.666666667,0.111111111,0.476190476,0.111111111,0.317460317,0.005291005,10,2.333333333,6.666666667,0.111111111,0.476190476,0.111111111,0.317460317,0.005291005,1,0,6,3,4.5,3,7,4.666666667,-7.5,-9,-5,-7.333333333,-0.357142857,-0.428571429,-0.238095238,-0.349206349,7.5,9,5,7.333333333,0.357142857,0.428571429,0.238095238,0.349206349,0,0,61,18,39.5,26.33333333,39,26,1.5,-11.66666667,1,-12,0.071428571,-0.555555556,0.047619048,-0.571428571,1.5,11.66666667,1,12,0.071428571,0.555555556,0.047619048,0.571428571,0,1,6,0,1,,,,
6,2,2,17,25,15,19,12.66666667,-4.333333333,-12.33333333,-2.333333333,23,21,22,14.66666667,20.33333333,13.55555556,5,-2.333333333,3.333333333,-3.444444444,0.263157895,-0.122807018,0.175438596,-0.18128655,5,2.333333333,3.333333333,3.444444444,0.263157895,0.122807018,0.175438596,0.18128655,0,1,30,15,22.5,15,23.33333333,15.55555556,-2.5,-10,-1.666666667,-9.444444444,-0.131578947,-0.526315789,-0.087719298,-0.497076023,2.5,10,1.666666667,9.444444444,0.131578947,0.526315789,0.087719298,0.497076023,0,1,9,11,10,6.666666667,11.66666667,7.777777778,-5,-8.333333333,-3.333333333,-7.222222222,-0.263157895,-0.438596491,-0.175438596,-0.380116959,5,8.333333333,3.333333333,7.222222222,0.263157895,0.438596491,0.175438596,0.380116959,1,1,1,1,6,,,,
6,2,3,13,7,22,14,9.333333333,-3.666666667,2.333333333,-12.66666667,15,17,16,10.66666667,15,10,3,-2.333333333,2,-3,0.214285714,-0.166666667,0.142857143,-0.214285714,3,2.333333333,2,3,0.214285714,0.166666667,0.142857143,0.214285714,0,2,17,20,18.5,12.33333333,14.66666667,9.777777778,11.5,5.333333333,7.666666667,2.777777778,0.821428571,0.380952381,0.547619048,0.198412698,11.5,5.333333333,7.666666667,2.777777778,0.821428571,0.380952381,0.547619048,0.198412698,1,2,36,21,28.5,19,26.33333333,17.55555556,6.5,-3,4.333333333,-4.444444444,0.464285714,-0.214285714,0.30952381,-0.317460317,6.5,3,4.333333333,4.444444444,0.464285714,0.214285714,0.30952381,0.317460317,0,0,1,8,0,,,,
6,2,4,5,4,12,7,4.666666667,-0.333333333,0.666666667,-7.333333333,5,17,11,7.333333333,9,6,6,2.333333333,4,1,0.857142857,0.333333333,0.571428571,0.142857143,6,2.333333333,4,1,0.857142857,0.333333333,0.571428571,0.142857143,1,1,22,12,17,11.33333333,12.66666667,8.444444444,13,7.333333333,8.666666667,4.444444444,1.857142857,1.047619048,1.238095238,0.634920635,13,7.333333333,8.666666667,4.444444444,1.857142857,1.047619048,1.238095238,0.634920635,0,1,10,17,13.5,9,13,8.666666667,1.5,-3,1,-3.333333333,0.214285714,-0.428571429,0.142857143,-0.476190476,1.5,3,1,3.333333333,0.214285714,0.428571429,0.142857143,0.476190476,0,1,8,1,1,16,10,8,
7,2,1,28,58,20,35.33333333,23.55555556,-4.444444444,-34.44444444,3.555555556,35,47,41,27.33333333,36.66666667,24.44444444,13,-0.666666667,8.666666667,-3.555555556,0.367924528,-0.018867925,0.245283019,-0.100628931,13,0.666666667,8.666666667,3.555555556,0.367924528,0.018867925,0.245283019,0.100628931,0,0,4,60,32,21.33333333,40.66666667,27.11111111,-26,-36.66666667,-17.33333333,-30.88888889,-0.735849057,-1.037735849,-0.490566038,-0.874213836,26,36.66666667,17.33333333,30.88888889,0.735849057,1.037735849,0.490566038,0.874213836,0,0,5,31,18,12,18.66666667,12.44444444,-2,-8,-1.333333333,-7.555555556,-0.056603774,-0.226415094,-0.037735849,-0.213836478,2,8,1.333333333,7.555555556,0.056603774,0.226415094,0.037735849,0.213836478,1,1,0,0,7,,,,
7,2,2,22,32,35,29.66666667,19.77777778,-2.222222222,-12.22222222,-15.22222222,40,18,29,19.33333333,26.66666667,17.77777778,7,-2.666666667,4.666666667,-4.222222222,0.235955056,-0.08988764,0.157303371,-0.142322097,7,2.666666667,4.666666667,4.222222222,0.235955056,0.08988764,0.157303371,0.142322097,1,2,20,30,25,16.66666667,27.33333333,18.22222222,-7,-15.33333333,-4.666666667,-13.77777778,-0.235955056,-0.516853933,-0.157303371,-0.464419476,7,15.33333333,4.666666667,13.77777778,0.235955056,0.516853933,0.157303371,0.464419476,0,2,21,18,19.5,13,24.66666667,16.44444444,-15.5,-22,-10.33333333,-18.55555556,-0.52247191,-0.741573034,-0.348314607,-0.625468165,15.5,22,10.33333333,18.55555556,0.52247191,0.741573034,0.348314607,0.625468165,0,1,7,2,1,,,,
7,2,3,21,14,18,17.66666667,11.77777778,-9.222222222,-2.222222222,-6.222222222,32,24,28,18.66666667,25.66666667,17.11111111,7,-2.333333333,4.666666667,-3.888888889,0.396226415,-0.132075472,0.264150943,-0.220125786,7,2.333333333,4.666666667,3.888888889,0.396226415,0.132075472,0.264150943,0.220125786,0,2,15,25,20,13.33333333,18,12,6,-0.666666667,4,-2,0.339622642,-0.037735849,0.226415094,-0.113207547,6,0.666666667,4,2,0.339622642,0.037735849,0.226415094,0.113207547,1,2,20,26,23,15.33333333,21.33333333,14.22222222,5,-2.666666667,3.333333333,-3.777777778,0.283018868,-0.150943396,0.188679245,-0.213836478,5,2.666666667,3.333333333,3.777777778,0.283018868,0.150943396,0.188679245,0.213836478,0,1,0,8,1,,,,
7,2,4,20,10,35,21.66666667,14.44444444,-5.555555556,4.444444444,-20.55555556,13,27,20,13.33333333,20,13.33333333,0,-6.666666667,0,-6.666666667,0,-0.307692308,0,-0.307692308,0,6.666666667,0,6.666666667,0,0.307692308,0,0.307692308,0,0,14,26,20,13.33333333,16.66666667,11.11111111,10,3.333333333,6.666666667,1.111111111,0.461538462,0.153846154,0.307692308,0.051282051,10,3.333333333,6.666666667,1.111111111,0.461538462,0.153846154,0.307692308,0.051282051,1,0,30,40,35,23.33333333,35,23.33333333,0,-11.66666667,0,-11.66666667,0,-0.538461538,0,-0.538461538,0,11.66666667,0,11.66666667,0,0.538461538,0,0.538461538,0,0,1,6,0,8,16,9,
8,2,1,40,26,16,27.33333333,18.22222222,-21.77777778,-7.777777778,2.222222222,50,30,40,26.66666667,40,26.66666667,0,-13.33333333,0,-13.33333333,0,-0.487804878,0,-0.487804878,0,13.33333333,0,13.33333333,0,0.487804878,0,0.487804878,0,0,70,32,51,34,42.66666667,28.44444444,25,8,16.66666667,2.444444444,0.914634146,0.292682927,0.609756098,0.089430894,25,8,16.66666667,2.444444444,0.914634146,0.292682927,0.609756098,0.089430894,0,0,23,58,40.5,27,32.33333333,21.55555556,24.5,11,16.33333333,5.555555556,0.896341463,0.402439024,0.597560976,0.203252033,24.5,11,16.33333333,5.555555556,0.896341463,0.402439024,0.597560976,0.203252033,1,1,1,0,7,,,,
8,2,2,20,35,24,26.33333333,17.55555556,-2.444444444,-17.44444444,-6.444444444,15,25,20,13.33333333,20,13.33333333,0,-6.666666667,0,-6.666666667,0,-0.253164557,0,-0.253164557,0,6.666666667,0,6.666666667,0,0.253164557,0,0.253164557,1,1,85,15,50,33.33333333,45,30,15,-1.666666667,10,-5,0.569620253,-0.063291139,0.379746835,-0.189873418,15,1.666666667,10,5,0.569620253,0.063291139,0.379746835,0.189873418,0,1,18,30,24,16,24,16,0,-8,0,-8,0,-0.303797468,0,-0.303797468,0,8,0,8,0,0.303797468,0,0.303797468,0,2,7,1,2,,,,
